form	lemma	POS	morph
༄༅། །		PUNCT
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
བཞུགས་པ་	བཞུགས་པ་	VERB
ལགས་སོ་	ལགས་སོ་	NO_POS
༔		PUNCT
		
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
༔		PUNCT
ཡིད་ཆེས་	ཡིད་ཆེས་	NOUN
ཤིང་	ཅིང་	PART
ཁུངས་	ཁུངས་	NOUN
བཙུན་པ་	བཙུན་པ་	NOUN
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
༔		PUNCT
བླ་མ་	བླ་མ་	NOUN
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
མདོ་	མདོ་	NOUN
ཙམ་	ཙམ་	DET
བསྟན་པ་	བསྟན་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
རྒྱུད་	རྒྱུད་	NOUN
ཉི་ཟླ་	ཉི་ཟླ་	NOUN
ཁ་སྦྱོར་	ཁ་སྦྱོར་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
དོན་	དོན་	NOUN
གྱིས་	གིས་	PART
མ་	མ་	PART
བཤད་	བཤད་	VERB
ན་	ལ་	PART
༔		PUNCT
གསང་	གསང་	VERB
ཆེན་	ཆེན་	NO_POS
ངེས་པ་	ངེས་པ་	VERB
འི་	གི་	PART
བཀའ་	བཀའ་	NOUN
འདི་	འདི་	DET
ལ་	ལ་	PART
༔		PUNCT
ཡིད་	ཡིད་	NOUN
མི་	མི་	PART
ཆེས་པ་	ཆེས་པ་	VERB
འི་	གི་	PART
སྐྱོན་	སྐྱོན་	NOUN
དུ་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
༔		PUNCT
ཞེས་་	ཞེས་པ་	PART
ས་	གིས་	PART
༔		PUNCT
ཇི་ལྟ་		
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
ནི་	ནི་	NO_POS
༔		PUNCT
རྒྱུད་	རྒྱུད་	NOUN
འདི་ཉིད་	འདི་ཉིད་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
སྟོན་པ་	སྟོན་པ་	NOUN
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
བཟང་པོ་	བཟང་པོ་	ADJ
ཡབ་ཡུམ་	ཡབ་ཡུམ་	NOUN
གྱིས་	གིས་	PART
༔		PUNCT
ཉིད་	ཉིད་	DET
ལས་མི་	ལས་མི་	NOUN
ཞན་	ཞན་	PROPN
སེམས་དཔ་	སེམས་དཔའ་	NOUN
འི་	གི་	PART
སྣོད་	སྣོད་	NOUN
༔		PUNCT
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབས་	བརླབས་	NO_POS
ཀྱི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
ལ་	ལ་	PART
༔		PUNCT
གཏད་པ་	གཏད་པ་	VERB
ས་	གིས་	PART
གཅིག་	གཅིག་	NUM
